host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1730412,Desdemona,other neighborhoods,fremont,47.66143,-122.35278,Entire home/apt,143.0,2,345,2024-06-06,2.82,1,12,32
2781551,Ron,central area,mann,47.62126,-122.29708,Entire home/apt,399.0,30,63,2022-02-26,0.52,4,0,0
3074414,Melissa,university district,university district,47.6647,-122.30345,Entire home/apt,115.0,30,8,2022-09-03,0.07,132,244,0
12086787,Marcus,rainier valley,columbia city,47.55995,-122.28322,Entire home/apt,107.0,1,822,2024-06-06,6.72,2,279,78
2231298,Chris,ballard,adams,47.67251521,-122.3815212,Entire home/apt,585.0,1,130,2024-05-27,1.27,3,245,17
15566972,Scott,west seattle,north admiral,47.57142,-122.38029,Private room,100.0,30,41,2019-09-02,0.33,1,201,0
4152568,Barrie,ballard,adams,47.67204,-122.38053,Entire home/apt,212.459747172322,4,38,2023-10-28,0.31,1,5,2
3074414,Melissa,university district,university district,47.66351,-122.30233,Entire home/apt,165.0,30,76,2023-10-22,0.62,132,77,10
6680836,Dimple,other neighborhoods,wallingford,47.65434,-122.32898,Entire home/apt,129.0,3,52,2023-10-31,0.43,2,296,1
3074414,Melissa,university district,university district,47.65928,-122.317,Entire home/apt,112.0,30,43,2023-04-26,0.35,132,205,0
12171359,Diane,queen anne,west queen anne,47.63268,-122.3671,Entire home/apt,183.0,3,529,2024-06-10,4.34,3,299,49
3074414,Melissa,university district,university district,47.66155,-122.315,Entire home/apt,125.0,30,22,2023-09-19,0.18,132,105,1
13697241,Bonnie,downtown,pioneer square,47.6002,-122.3338,Entire home/apt,253.0,2,369,2024-06-24,3.03,1,211,51
30559,Angielena,other neighborhoods,georgetown,47.55043,-122.31837,Private room,78.0,2,209,2024-06-07,1.72,10,320,25
3074414,Melissa,university district,university district,47.65707,-122.3166,Entire home/apt,125.0,30,31,2022-09-08,0.25,132,53,0
16708587,Jill,queen anne,west queen anne,47.63089,-122.36778,Entire home/apt,806.0,1,134,2024-05-17,1.11,5,35,31
16727906,Tory,other neighborhoods,fremont,47.66074,-122.35705,Entire home/apt,229.0,2,334,2024-06-02,2.75,2,200,12
14138534,Jill,cascade,eastlake,47.64627,-122.32271,Entire home/apt,314.0,7,219,2023-12-01,1.84,1,300,3
16255476,Ken,downtown,pike-market,47.61088,-122.34389,Entire home/apt,212.459747172322,30,36,2021-08-16,0.3,3,286,0
